Generation,Fitness,TimeTaken,BTB,BTB_TIME,CAN_SHARE_ROOM,DIFF_TIME,MEET_WITH,NHB,NHB_GTE,SAME_DAYS,SAME_INSTR,SAME_ROOM,SAME_START,SAME_TIME,SAME_STUDENTS,SPREAD,ROOM_CONFLICTS
2,2.920277E+07,4330,12,0,0,0,12,1,3,5,0,14,15,2,17,0,292
3,27702878,4239,12,0,0,2,11,1,3,4,0,15,14,3,19,0,277
4,24702708,4119,12,0,0,2,11,1,3,4,0,13,11,3,19,0,247
5,24202624,4380,12,0,0,2,11,1,3,4,0,13,11,3,17,0,242
6,22802692,4386,12,0,0,1,11,1,3,5,0,14,12,3,17,0,228
7,21802566,4122,12,0,0,1,11,1,3,3,0,13,14,3,15,0,218
8,20402698,4217,12,0,0,2,11,1,3,4,0,13,13,3,17,0,204
9,1.950253E+07,4333,12,0,0,2,11,1,3,3,0,13,14,3,13,0,195
10,18902692,4284,12,0,0,3,11,1,3,4,0,13,14,3,15,0,189
11,17902652,4233,12,0,0,2,11,1,3,4,0,13,14,3,15,0,179
12,17402664,4260,12,0,0,2,11,1,3,4,0,13,14,3,15,0,174
13,1.650262E+07,4302,12,0,0,1,11,1,3,4,0,13,14,3,15,0,165
14,15802645,4320,12,0,0,2,11,1,3,4,0,13,14,3,15,0,158
15,15202697,4376,12,0,0,3,11,1,3,4,0,13,14,3,15,0,152
16,14802736,4504,12,0,0,3,11,1,3,4,0,13,15,3,15,0,148
